iter	Logloss
0	0.684696149
1	0.6785733119
2	0.6734008209
3	0.6680278687
4	0.6620126524
5	0.657362644
6	0.6524823963
7	0.648667473
8	0.6442978135
9	0.6402389021
10	0.6336409176
11	0.6285134262
12	0.6245020803
13	0.6220502438
14	0.6188859375
15	0.6140702627
16	0.6111951848
17	0.6082556483
18	0.6052591496
19	0.6021826707
20	0.5999947518
21	0.5975971176
22	0.5941043462
23	0.5910439901
24	0.5888422395
25	0.5868174375
26	0.5843028716
27	0.5810665767
28	0.5791279972
29	0.5765853416
30	0.5738096588
31	0.5706990307
32	0.5693459323
33	0.5674612053
34	0.5649459536
35	0.5623034817
36	0.560538447
37	0.5591414482
38	0.5580228419
39	0.5565198208
40	0.5552636728
41	0.5537092403
42	0.5522239294
43	0.5506442323
44	0.5495705446
45	0.5477057953
46	0.5456058087
47	0.5434334108
48	0.5417239304
49	0.5408635701
50	0.5396273451
51	0.5380442197
52	0.5369285031
53	0.5357275473
54	0.5344198574
55	0.5334344679
56	0.5322875929
57	0.5315400256
58	0.5299949619
59	0.5279279034
60	0.526875716
61	0.5259277258
62	0.5250546917
63	0.5244012376
64	0.5233609883
65	0.5220242154
66	0.520433797
67	0.5200280001
68	0.5187839407
69	0.5171681597
70	0.5158060545
71	0.5154056886
72	0.5138540903
73	0.5131358429
74	0.5121131211
75	0.511042451
76	0.510180567
77	0.5093359448
78	0.5080698907
79	0.5074843374
80	0.5060991961
81	0.5048943337
82	0.5038192759
83	0.5032033455
84	0.5025564851
85	0.5017248335
86	0.5003634202
87	0.4997203255
88	0.4987372232
89	0.4978227897
90	0.4972039878
91	0.4961217552
92	0.4948660871
93	0.4936535342
94	0.4931744159
95	0.4923754654
96	0.4913708946
97	0.4906725361
98	0.4896573026
99	0.4886351027
100	0.4880759267
101	0.4876456593
102	0.486918838
103	0.4860040565
104	0.4853917009
105	0.4848159111
106	0.4838693551
107	0.4833519377
108	0.4826042086
109	0.4817046186
110	0.4807533335
111	0.480040997
112	0.479648346
113	0.4790149806
114	0.4783847183
115	0.4777802506
116	0.4770724766
117	0.4764786002
118	0.4757139736
119	0.4749852011
120	0.4741046719
121	0.4733781091
122	0.4725936315
123	0.472100912
124	0.4713956232
125	0.4711087934
126	0.4704737274
127	0.4698021522
128	0.4695331882
129	0.4688390195
130	0.4678973113
131	0.4672380976
132	0.4665702045
133	0.4661023939
134	0.465732089
135	0.4654477612
136	0.464895921
137	0.4642804412
138	0.4635690848
139	0.4627805527
140	0.4623595388
141	0.4616453262
142	0.4610988261
143	0.4606541233
144	0.4598533262
145	0.4590662742
146	0.4583647194
147	0.4576589184
148	0.4572495216
149	0.4567937585
150	0.4562615607
151	0.45579853
152	0.4550361037
153	0.454198968
154	0.4531984928
155	0.4525973413
156	0.451676734
157	0.4511520471
158	0.4504391876
159	0.4501942735
160	0.449562852
161	0.4490313654
162	0.4482796431
163	0.4478428763
164	0.4471483808
165	0.4464228048
166	0.4452276154
167	0.4445540707
168	0.4438375407
169	0.4434796544
170	0.4431487686
171	0.4426476434
172	0.4420850097
173	0.4413705089
174	0.4406531895
175	0.4401534538
176	0.4396457069
177	0.4390344744
178	0.4386658548
179	0.4383260551
180	0.4378470135
181	0.4373004259
182	0.436832168
183	0.4363373786
184	0.4356097839
185	0.4353599566
186	0.4349814037
187	0.434643852
188	0.4343447861
189	0.4334097886
190	0.4330654697
191	0.4327690574
192	0.4325922551
193	0.4317881469
194	0.4314872868
195	0.4310231626
196	0.4303313901
197	0.4299283278
198	0.4296114931
199	0.4288853255
