iter	Passed	Remaining
0	59	11884
1	60	5999
2	61	4039
3	62	3054
4	63	2467
5	64	2080
6	65	1801
7	66	1588
8	67	1422
9	67	1288
10	68	1178
11	69	1087
12	70	1010
13	71	943
14	71	885
15	72	834
16	73	789
17	74	749
18	74	714
19	75	681
20	76	651
21	77	624
22	77	599
23	78	576
24	79	555
25	80	537
26	81	520
27	82	503
28	83	492
29	84	477
30	85	464
31	85	451
32	86	438
33	87	427
34	88	416
35	89	407
36	90	398
37	91	388
38	91	379
39	92	371
40	93	362
41	94	355
42	95	347
43	95	339
44	96	332
45	97	326
46	98	319
47	98	313
48	99	307
49	100	301
50	101	296
51	102	290
52	102	285
53	103	281
54	104	276
55	105	271
56	106	266
57	107	262
58	107	257
59	108	253
60	109	249
61	110	245
62	111	241
63	111	237
64	112	234
65	113	230
66	114	227
67	115	223
68	115	219
69	116	216
70	117	213
71	118	209
72	118	206
73	119	203
74	120	200
75	121	197
76	122	194
77	122	192
78	123	189
79	124	186
80	125	183
81	126	181
82	126	178
83	127	176
84	128	173
85	129	171
86	130	169
87	131	166
88	132	164
89	132	162
90	134	160
91	134	158
92	135	155
93	136	153
94	137	151
95	137	149
96	138	147
97	139	145
98	140	143
99	141	141
100	141	138
101	142	137
102	143	135
103	144	133
104	145	131
105	145	129
106	146	127
107	147	125
108	148	123
109	148	121
110	149	120
111	150	118
112	151	116
113	152	114
114	152	112
115	153	111
116	154	109
117	155	107
118	155	106
119	156	104
120	157	102
121	158	101
122	158	99
123	159	97
124	160	96
125	161	94
126	162	93
127	162	91
128	163	90
129	164	88
130	165	87
131	166	85
132	167	84
133	167	82
134	168	81
135	169	79
136	170	78
137	171	76
138	172	75
139	173	74
140	173	72
141	174	71
142	175	69
143	176	68
144	177	67
145	178	65
146	179	64
147	180	63
148	180	61
149	182	60
150	183	59
151	184	58
152	184	56
153	185	55
154	186	54
155	187	52
156	188	51
157	188	50
158	189	48
159	190	47
160	191	46
161	192	45
162	192	43
163	193	42
164	194	41
165	195	39
166	195	38
167	196	37
168	197	36
169	198	34
170	198	33
171	199	32
172	200	31
173	201	30
174	201	28
175	202	27
176	203	26
177	204	25
178	205	24
179	205	22
180	206	21
181	207	20
182	208	19
183	209	18
184	209	17
185	210	15
186	211	14
187	212	13
188	213	12
189	213	11
190	214	10
191	215	8
192	216	7
193	217	6
194	217	5
195	218	4
196	219	3
197	220	2
198	221	1
199	221	0
