datetime,close_price,total_volume,net_flow,trade_count,future_price_5s,target
2026-01-18 09:43:05,95238.62,0.05781,-0.05781,2,95238.63,1
2026-01-18 09:43:07,95238.63,6e-05,6e-05,1,95238.62,0
2026-01-18 09:43:08,95238.63,0.00021,0.00021,1,95238.62,0
2026-01-18 09:43:09,95238.62,0.001,-0.001,1,95238.63,1
2026-01-18 09:43:10,95238.63,0.14303000000000002,0.14303000000000002,2,95238.63,0
2026-01-18 09:43:11,95238.62,0.00041,-0.00041,2,95238.62,0
2026-01-18 09:43:12,95238.62,0.0017599999999999998,-0.00134,3,95238.62,0
2026-01-18 09:43:13,95238.62,0.00212,0.0007999999999999999,3,95238.63,1
2026-01-18 09:43:14,95238.63,0.00012,0.00012,1,95238.62,0
2026-01-18 09:43:15,95238.63,0.01913,0.001890000000000001,2,95238.62,0
2026-01-18 09:43:16,95238.62,0.00315,-0.00315,3,95238.62,0
2026-01-18 09:43:17,95238.62,0.00412,0.0032,2,95238.62,0
2026-01-18 09:43:18,95238.63,0.00012,0.00012,1,95238.63,0
2026-01-18 09:43:19,95238.62,0.00628,-0.0021599999999999996,3,95238.62,0
2026-01-18 09:43:20,95238.62,0.00021,-0.00021,1,95238.62,0
2026-01-18 09:43:21,95238.62,9e-05,-9e-05,1,95238.62,0
2026-01-18 09:43:23,95238.63,0.10287,-0.10241,4,95238.63,0
2026-01-18 09:43:25,95238.62,0.00366,-0.00366,1,95238.62,0
2026-01-18 09:43:30,95238.62,0.0833,-0.0833,12,95238.63,1
2026-01-18 09:43:32,95238.62,0.00396,-0.00374,3,95238.63,1
2026-01-18 09:43:34,95238.62,0.00272,-0.00272,1,95238.62,0
2026-01-18 09:43:35,95238.63,0.04799,-0.04753,5,95238.62,0
2026-01-18 09:43:36,95238.63,0.0013700000000000001,0.0013700000000000001,2,95238.62,0
2026-01-18 09:43:38,95238.63,0.26888999999999996,0.26015,7,95238.63,0
2026-01-18 09:43:39,95238.62,0.25574,-0.25574,4,95238.62,0
2026-01-18 09:43:41,95238.62,0.00055,-0.00055,1,95238.63,1
2026-01-18 09:43:44,95238.62,0.00188,-0.00188,1,95238.63,1
2026-01-18 09:43:46,95238.63,0.00549,0.00549,1,95238.62,0
2026-01-18 09:43:52,95238.63,6e-05,6e-05,1,95238.63,0
2026-01-18 09:43:53,95238.63,0.00059,0.00059,1,95238.62,0
2026-01-18 09:43:58,95238.62,0.00017,-0.00017,1,95238.62,0
2026-01-18 09:43:59,95238.63,0.00142,0.00142,1,95238.62,0
2026-01-18 09:44:00,95238.63,0.01296,-0.00772,2,95238.63,0
2026-01-18 09:44:01,95238.63,0.00193,0.00163,3,95238.63,0
2026-01-18 09:44:03,95238.62,0.01085,-0.01007,6,95238.62,0
2026-01-18 09:44:06,95238.63,0.03428,-0.0133,2,95238.63,0
2026-01-18 09:44:07,95238.62,0.00029,-0.00029,1,95238.62,0
2026-01-18 09:44:08,95238.62,0.05116,-0.05116,1,95238.63,1
2026-01-18 09:44:11,95238.63,0.00157,0.00157,2,95238.63,0
2026-01-18 09:44:13,95238.63,0.009089999999999999,-0.0069099999999999995,3,95238.62,0
2026-01-18 09:44:14,95238.62,0.00021,-0.00011000000000000002,2,95238.63,1
2026-01-18 09:44:15,95238.62,0.00196,0.00136,4,95238.63,1
2026-01-18 09:44:16,95238.63,0.00256,-0.00212,2,95238.63,0
2026-01-18 09:44:18,95238.62,0.00105,-0.00079,3,95238.63,1
2026-01-18 09:44:19,95238.63,0.01337,-0.01293,3,95238.62,0
